No.;Time;Time 1;Time 2;Delay;Delay 1;Delay 2;Jitter;;
148;14,386624;14,386624;14,386739;0,000115;-8E-05;-0,004903;-0,004823;;
149;14,386739;14,386739;14,386934;0,000195;-0,004903;0,004989;0,009892;;
150;14,386934;14,386934;14,392032;0,005098;0,004989;-0,006249;-0,011238;;
151;14,392032;14,392032;14,392141;0,000109;-0,006249;0,006358;0,012607;;
152;14,392141;14,392141;14,398499;0,006358;0,006358;-6,9E-05;-0,006427;;
153;14,398499;14,398499;14,398499;0;-6,9E-05;-5E-05;1,9E-05;;
154;14,398499;14,398499;14,398568;6,9E-05;-5E-05;0,000119;0,000169;;
155;14,398568;14,398568;14,398687;0,000119;0,000119;-0,000448;-0,000567;;
156;14,398687;14,398687;14,398687;0;-0,000448;0,000298;0,000746;;
157;14,398687;14,398687;14,399135;0,000448;0,000298;-0,000205;-0,000503;;
158;14,399135;14,399135;14,399285;0,00015;-0,000205;-0,004381;-0,004176;;
159;14,399285;14,399285;14,39964;0,000355;-0,004381;-0,008031;-0,00365;;
160;14,39964;14,39964;14,404376;0,004736;-0,008031;0,007192;0,015223;;
161;14,404376;14,404376;14,417143;0,012767;0,007192;0,005575;-0,001617;;
162;14,417143;14,417143;14,422718;0,005575;0,005575;-0,000239;-0,005814;;
163;14,422718;14,422718;14,422718;0;-0,000239;-0,007486;-0,007247;;
164;14,422718;14,422718;14,422957;0,000239;-0,007486;0,002448;0,009934;;
165;14,422957;14,422957;14,430682;0,007725;0,002448;0,005277;0,002829;;
166;14,430682;14,430682;14,435959;0,005277;0,005277;0;-0,005277;;
167;14,435959;14,435959;14,435959;0;0;0;0;;
168;14,435959;14,435959;14,435959;0;0;-8,2E-05;-8,2E-05;;
169;14,435959;14,435959;14,435959;0;-8,2E-05;-8,3E-05;-1E-06;;
170;14,435959;14,435959;14,436041;8,2E-05;-8,3E-05;0,000146;0,000229;;
171;14,436041;14,436041;14,436206;0,000165;0,000146;-0,004833;-0,004979;;
172;14,436206;14,436206;14,436225;1,9E-05;-0,004833;0,004619;0,009452;;
173;14,436225;14,436225;14,441077;0,004852;0,004619;-1,7E-05;-0,004636;;
174;14,441077;14,441077;14,44131;0,000233;-1,7E-05;-3,9E-05;-2,2E-05;;
175;14,44131;14,44131;14,44156;0,00025;-3,9E-05;0,000261;0,0003;;
176;14,44156;14,44156;14,441849;0,000289;0,000261;-8,4E-05;-0,000345;;
177;14,441849;14,441849;14,441877;2,8E-05;-8,4E-05;-0,000294;-0,00021;;
178;14,441877;14,441877;14,441989;0,000112;-0,000294;0,00038;0,000674;;
179;14,441989;14,441989;14,442395;0,000406;0,00038;-0,011952;-0,012332;;
180;14,442395;14,442395;14,442421;2,6E-05;-0,011952;0,011978;0,02393;;
181;14,442421;14,442421;14,454399;0,011978;0,011978;0;-0,011978;;
182;14,454399;14,454399;14,454399;0;0;-6,4E-05;-6,4E-05;;
183;14,454399;14,454399;14,454399;0;-6,4E-05;-9,4E-05;-3E-05;;
184;14,454399;14,454399;14,454463;6,4E-05;-9,4E-05;0,000126;0,00022;;
185;14,454463;14,454463;14,454621;0,000158;0,000126;-0,000115;-0,000241;;
186;14,454621;14,454621;14,454653;3,2E-05;-0,000115;-0,004167;-0,004052;;
187;14,454653;14,454653;14,4548;0,000147;-0,004167;0,002674;0,006841;;
188;14,4548;14,4548;14,459114;0,004314;0,002674;0,001375;-0,001299;;
189;14,459114;14,459114;14,460754;0,00164;0,001375;0,000238;-0,001137;;
190;14,460754;14,460754;14,461019;0,000265;0,000238;-5,9E-05;-0,000297;;
191;14,461019;14,461019;14,461046;2,7E-05;-5,9E-05;-0,000265;-0,000206;;
192;14,461046;14,461046;14,461132;8,6E-05;-0,000265;-0,003301;-0,003036;;
193;14,461132;14,461132;14,461483;0,000351;-0,003301;0,00362;0,006921;;
194;14,461483;14,461483;14,465135;0,003652;0,00362;-0,000203;-0,003823;;
195;14,465135;14,465135;14,465167;3,2E-05;-0,000203;0,000124;0,000327;;
196;14,465167;14,465167;14,465402;0,000235;0,000124;8,5E-05;-3,9E-05;;
197;14,465402;14,465402;14,465513;0,000111;8,5E-05;-0,00576;-0,005845;;
198;14,465513;14,465513;14,465539;2,6E-05;-0,00576;0,005442;0,011202;;
199;14,465539;14,465539;14,471325;0,005786;0,005442;9,6E-05;-0,005346;;
200;14,471325;14,471325;14,471669;0,000344;9,6E-05;0,000215;0,000119;;
201;14,471669;14,471669;14,471917;0,000248;0,000215;-0,000415;-0,00063;;
202;14,471917;14,471917;14,47195;3,3E-05;-0,000415;0,000448;0,000863;;
203;14,47195;14,47195;14,472398;0,000448;0,000448;-4,2E-05;-0,00049;;
204;14,472398;14,472398;14,472398;0;-4,2E-05;-0,000126;-8,4E-05;;
205;14,472398;14,472398;14,47244;4,2E-05;-0,000126;-0,000378;-0,000252;;
206;14,47244;14,47244;14,472608;0,000168;-0,000378;0,000509;0,000887;;
207;14,472608;14,472608;14,473154;0,000546;0,000509;-0,000125;-0,000634;;
208;14,473154;14,473154;14,473191;3,7E-05;-0,000125;-0,004181;-0,004056;;
209;14,473191;14,473191;14,473353;0,000162;-0,004181;0,004343;0,008524;;
210;14,473353;14,473353;14,477696;0,004343;0,004343;-5,4E-05;-0,004397;;
211;14,477696;14,477696;14,477696;0;-5,4E-05;-0,000123;-6,9E-05;;
212;14,477696;14,477696;14,47775;5,4E-05;-0,000123;2,4E-05;0,000147;;
213;14,47775;14,47775;14,477927;0,000177;2,4E-05;0,000114;9E-05;;
214;14,477927;14,477927;14,47808;0,000153;0,000114;-0,00954;-0,009654;;
215;14,47808;14,47808;14,478119;3,9E-05;-0,00954;-0,00737;0,00217;;
216;14,478119;14,478119;14,487698;0,009579;-0,00737;0,010889;0,018259;;
217;14,487698;14,487698;14,504647;0,016949;0,010889;0,000181;-0,010708;;
218;14,504647;14,504647;14,510707;0,00606;0,000181;0,005809;0,005628;;
219;14,510707;14,510707;14,516586;0,005879;0,005809;-0,000115;-0,005924;;
220;14,516586;14,516586;14,516656;7E-05;-0,000115;-0,000778;-0,000663;;
221;14,516656;14,516656;14,516841;0,000185;-0,000778;0,000963;0,001741;;
222;14,516841;14,516841;14,517804;0,000963;0,000963;0;-0,000963;;
223;14,517804;14,517804;14,517804;0;0;0;0;;
